org_area_num,org_area_name,org_dirgen_num,org_dirgen_name,org_serv_num,org_serv_name,prog_num,prog_name,econ_num,descripcion,amount
0,Deuda Pública,001,Deuda Pública,00100,Deuda Pública,1101,Deuda Publica,31000,INTERESES OPERACIONES DE TESORERIA,1562916.67
0,Deuda Pública,001,Deuda Pública,00100,Deuda Pública,1101,Deuda Publica,31001,INTERESES EUROHYPO,214720
0,Deuda Pública,001,Deuda Pública,00100,Deuda Pública,1101,Deuda Publica,31002,INTERESES PRÉSTAMO DEXIA SABADELL ( INV. 2009 ),231169.77
0,Deuda Pública,001,Deuda Pública,00100,Deuda Pública,1101,Deuda Publica,31003,INTERESES PRÉSTAMO BBVA ( INV. 2009 ),231169.77
0,Deuda Pública,001,Deuda Pública,00100,Deuda Pública,1101,Deuda Publica,31004,INTERESES PRÉSTAMOS BANESTO ( INV. 2009 ),438587.5
0,Deuda Pública,001,Deuda Pública,00100,Deuda Pública,1101,Deuda Publica,31006,BBVA-DEXIA SABADEL Y BCL (REFINANCIACION 2008),13937759.69
0,Deuda Pública,001,Deuda Pública,00100,Deuda Pública,1101,Deuda Publica,31007,INTERESES PRESTAMO BBVA (INV. 2010),324603.42
0,Deuda Pública,001,Deuda Pública,00100,Deuda Pública,1101,Deuda Publica,31008,INTERESES PRESTAMO DEXIA SABADELL (INV. 2010),299633.93
0,Deuda Pública,001,Deuda Pública,00100,Deuda Pública,1101,Deuda Publica,31009,INTERESES PRÉSTAMO B. SANTANDER (INV. 2010),516060
0,Deuda Pública,001,Deuda Pública,00100,Deuda Pública,1101,Deuda Publica,31079,INTERESES B.S.C.H. (INV.2002),109269.55
0,Deuda Pública,001,Deuda Pública,00100,Deuda Pública,1101,Deuda Publica,31084,INTERESES PTO. UNICAJA (INV. 2003),544121.3
0,Deuda Pública,001,Deuda Pública,00100,Deuda Pública,1101,Deuda Publica,31085,INTERESES PTO. CAJA MADRID (INV. 2003),255134.01
0,Deuda Pública,001,Deuda Pública,00100,Deuda Pública,1101,Deuda Publica,31088,INTERESES PTO. CAJA MADRID ( INV 2004),208513.11
0,Deuda Pública,001,Deuda Pública,00100,Deuda Pública,1101,Deuda Publica,31089,INTERESES PTO. CAJA MADRID - 2 ( INV 2004),623821.11
0,Deuda Pública,001,Deuda Pública,00100,Deuda Pública,1101,Deuda Publica,31099,"INTERESES PRESTAMO I.C.O.  """"PLAN BARRIOS""""",304230.04
0,Deuda Pública,001,Deuda Pública,00100,Deuda Pública,1101,Deuda Publica,35900,OTROS GASTOS  FINANCIEROS,200000
0,Deuda Pública,001,Deuda Pública,00100,Deuda Pública,1101,Deuda Publica,91101,AMORTIZACIÓN PTMO. MINIST. IND.TURISMO Y COMERC. (SUBV.2008),60000
0,Deuda Pública,001,Deuda Pública,00100,Deuda Pública,1101,Deuda Publica,91102,DEUDA PIE 2008,5268910.44
0,Deuda Pública,001,Deuda Pública,00100,Deuda Pública,1101,Deuda Publica,91103,MINISTERIO DE HACIENDA (DEUDA PIE 2009),17169801.96
