org_area_num,org_area_name,org_dirgen_num,org_dirgen_name,org_serv_num,org_serv_name,prog_num,prog_name,econ_num,descripcion,amount
0,Deuda Pública,001,Deuda Pública,00100,Deuda Pública,01101,Deuda Pública,31000,INTERESES OPERACIONES DE TESORERIA,1841666.66
0,Deuda Pública,001,Deuda Pública,00100,Deuda Pública,01101,Deuda Pública,31001,INTERESES EUROHIPO (INV. 2007),79315.44
0,Deuda Pública,001,Deuda Pública,00100,Deuda Pública,01101,Deuda Pública,31002,INTERESES PRÉSTAMO DEXIA SABADELL (INV. 2009),134783.92
0,Deuda Pública,001,Deuda Pública,00100,Deuda Pública,01101,Deuda Pública,31003,INTERESES PRÉSTAMO BBVA (INV. 2009),134783.92
0,Deuda Pública,001,Deuda Pública,00100,Deuda Pública,01101,Deuda Pública,31004,INTERESES PRÉSTAMO BANESTO (INV. 2009),254150.74
0,Deuda Pública,001,Deuda Pública,00100,Deuda Pública,01101,Deuda Pública,31006,INTERESES BBVA-DEXIA SABADEL Y BCL (REFINANCIACIÓN 2008),14693240.68
0,Deuda Pública,001,Deuda Pública,00100,Deuda Pública,01101,Deuda Pública,31007,INTERESES PRÉSTAMO BBVA (INV. 2010),223312.34
0,Deuda Pública,001,Deuda Pública,00100,Deuda Pública,01101,Deuda Pública,31008,INTERESES PRÉSTAMO DEXIA/SABADELL (INV. 2010),206134.47
0,Deuda Pública,001,Deuda Pública,00100,Deuda Pública,01101,Deuda Pública,31009,INTERÉSES PRÉSTAMO B. SANTANDER (INV. 2010),393677.79
0,Deuda Pública,001,Deuda Pública,00100,Deuda Pública,01101,Deuda Pública,31079,INTERESES B.S.C.H. (INV. 2002),88690.38
0,Deuda Pública,001,Deuda Pública,00100,Deuda Pública,01101,Deuda Pública,31084,INTERESES PRÉSTAMO UNICAJA (INV. 2003),463885.71
0,Deuda Pública,001,Deuda Pública,00100,Deuda Pública,01101,Deuda Pública,31085,INTERESES PRÉSTAMO CAJA MADRID (INV. 2003),112054.95
0,Deuda Pública,001,Deuda Pública,00100,Deuda Pública,01101,Deuda Pública,31088,INTERESES PRÉSTAMO CAJA MADRID (INV. 2004),92241.96
0,Deuda Pública,001,Deuda Pública,00100,Deuda Pública,01101,Deuda Pública,31089,INTERESES PRÉSTAMO CAJA MADRID-2 (INV. 2004),514350.72
0,Deuda Pública,001,Deuda Pública,00100,Deuda Pública,01101,Deuda Pública,31090,INTERESES PRÉSTAMOS I.C.O (PAGO A PROVEEDORES),1769214.64
0,Deuda Pública,001,Deuda Pública,00100,Deuda Pública,01101,Deuda Pública,31091,INTERESES PRÉSTAMOS I.C.O (PAGO A PROVEEDORES). GMU,1455924.89
0,Deuda Pública,001,Deuda Pública,00100,Deuda Pública,01101,Deuda Pública,31092,INTERESES PRÉSTAMOS I.C.O (PAGO A PROVEEDORES). IMD,5949.49
0,Deuda Pública,001,Deuda Pública,00100,Deuda Pública,01101,Deuda Pública,31093,INTERESES PRÉSTAMOS I.C.O (PAGO A PROVEEDORES). ICAS,21236.11
0,Deuda Pública,001,Deuda Pública,00100,Deuda Pública,01101,Deuda Pública,31094,INTERESES PRÉSTAMOS I.C.O (PAGO A PROVEEDORES). TUSSAM,584850.67
0,Deuda Pública,001,Deuda Pública,00100,Deuda Pública,01101,Deuda Pública,31095,INTERESES PRÉSTAMOS I.C.O (PAGO A PROVEEDORES). EMVISESA,12801.50
0,Deuda Pública,001,Deuda Pública,00100,Deuda Pública,01101,Deuda Pública,31099,"INTERESES PRÉSTAMO I.C.O. ""PLAN BARRIOS",137265.53
0,Deuda Pública,001,Deuda Pública,00100,Deuda Pública,01101,Deuda Pública,35900,OTROS GASTOS FINANCIEROS,400000.00
0,Deuda Pública,001,Deuda Pública,00100,Deuda Pública,01101,Deuda Pública,91101,"AMORTIZACIÓN PRESTAMO Mº DE INDUSTRIA, TURISMO Y COMERCIO (SUVB. 2008)",60000.00
0,Deuda Pública,001,Deuda Pública,00100,Deuda Pública,01101,Deuda Pública,91102,DEUDA PIE 2008,702521.44
0,Deuda Pública,001,Deuda Pública,00100,Deuda Pública,01101,Deuda Pública,91103,DEUDA PIE 2009,5723267.40
0,Deuda Pública,001,Deuda Pública,00100,Deuda Pública,01101,Deuda Pública,91125,AMORTIZACIÓN PRÉSTAMO I. C. O. (INV.06),1126666.68
0,Deuda Pública,001,Deuda Pública,00100,Deuda Pública,01101,Deuda Pública,91303,AMORTIZACIÓN PRÉSTAMO EUROHYPO (INV 07),2000000.00
