unique_key,time,from_id,from_name,area_num,area_name,entity_num,entity_name,prog_num,prog_name,concept_num,concept_name,amount
989,2012,SVQTOWN,Ayuntamiento de Sevilla,4,Seguridad y Movilidad,40204,Centro de Coordinación Operativa,44101,MANTENIMIENTO Y DESARROLLO DEL TRANSPORTE,44900,TUSSAM: TRANSFERENCIAS CORRIENTES,56436940
577,2012,SVQTOWN,Ayuntamiento de Sevilla,2,Hacienda y Administración Pública,20201,Servicio de Recursos Humanos,22101,ATENCIONES SOCIALES,16000,SEGURIDAD SOCIAL,52641122.29
73,2012,SVQTOWN,Ayuntamiento de Sevilla,1,Urbanismo y Medio Ambiente,10200,Gerencia de Urbanismo,16301,LIMPIEZA VIARIA,44904,LIPASAM: LIMPIEZA VIARIA,49275090.57
71,2012,SVQTOWN,Ayuntamiento de Sevilla,1,Urbanismo y Medio Ambiente,10200,Gerencia de Urbanismo,16201,RECOGIDA Y TRATAMIENTO DE RESIDUOS,44905,LIPASAM: RECOGIDA RESIDUOS SOLIDOS,44289875.83
1077,2012,SVQTOWN,Ayuntamiento de Sevilla,6,Familia. Asuntos Sociales y Zonas de Especial Actuación,60103,Subvenciones Asuntos Sociales,23301,INTERV.CON PERSONAS MAYORES Y/O DISCAPACITADOS,2271260,SERVICIO DE AYUDA A DOMICILIO,30174825.64
1036,2012,SVQTOWN,Ayuntamiento de Sevilla,5,Cultura. Educación. Juventud y Deportes,50300,Instituto Municipal de Deportes,34101,PROMOCIÓN Y FOMENTO DEL DEPORTE,41000,AL ORGANISMO AUTONOMO INSTITUTO DE DEPORTES,20586136.68
69,2012,SVQTOWN,Ayuntamiento de Sevilla,1,Urbanismo y Medio Ambiente,10200,Gerencia de Urbanismo,15101,URBANISMO,41000,AL ORGANISMO AUTONOMO GERENCIA URBANISMO,20317964.58
105,2012,SVQTOWN,Ayuntamiento de Sevilla,2,Hacienda y Administración Pública,20200,Dirección General de Recursos Humanos,13200,SEGURIDAD Y ORDEN PÚBLICO. ADMINISTRAC. GRAL.,12101,COMPLEMENTO ESPECÍFICO,17624704.19
18,2012,SVQTOWN,Ayuntamiento de Sevilla,0,Deuda Pública,100,Deuda Pública,1101,DEUDA PUBLICA,91103,MINISTERIO DE HACIENDA (DEUDA PIE 2009),17169801.96
21,2012,SVQTOWN,Ayuntamiento de Sevilla,0,Deuda Pública,100,Deuda Pública,1101,DEUDA PUBLICA,91304,AMORTIZACIÓN PTMO. BBVA-DEXIA-BCL (REFINANCIACIÓN),14531119.8
